id,pdga_number,first_name,last_name,city,state,country,nationality,member_since
961,81424,Andrew,Dominguez,Brighton,CO,US,NULL,2016
962,81449,Carter,Mayo,Center Ridge,AR,US,NULL,2016
965,81618,Bradley,Good,Doylestown,PA,US,NULL,2016
968,81717,Cam,Zanini,Niagara Falls,ON,CA,NULL,2016
972,81781,Matt,Hammersten,Woodbridge,VA,US,NULL,2016
973,81943,Jeremy,Sneeden,Wilmington,NC,US,NULL,2016
974,82030,Jaakko,Ikonen,Lahti,,FI,NULL,2016
976,82142,Britain,Best,Magna,UT,US,NULL,2016
979,82360,David,Stepp,Northglenn,CO,US,NULL,2016
980,82373,Andrew,Argandar-Valdez,Modesto,CA,US,NULL,2016
981,82562,Aapo,Karhi,Forssa,,FI,NULL,2016
982,82817,Mark,Saraceno,Whitehall,PA,US,NULL,2016
984,82998,Robert,Veliky,Hewitt,NJ,US,NULL,2016
985,83046,Adam,McPherson,Canton,MI,US,NULL,2016
986,83074,Jay,Barrows,Sterling,CT,US,NULL,2016
987,83681,Anthony,Angel,Colona,IL,US,NULL,2016
988,83865,Tero,Jaatinen,Joensuu,,FI,FI,2016
989,83880,Svit,Savnik,Ljubljana,,SI,NULL,2016
990,83906,Tom,Erik Kristiansen,Hamar,,NO,NO,2016
991,84401,Mason,Foltz,Pocatello,ID,US,NULL,2016
992,84414,Hunter,Brasel,Iuka,MS,US,US,2016
994,84626,Noah,Moorehouse,Ann Arbor,MI,US,NULL,2016
